word;polarity
akelige;-0.4
alerter;0.5
alfabetisch;-0.1
alfabetische;-0.1
algebraïsch;0
algebraïsche;0
algeheel;0.1
algehele;0.1
algemeen;-0.2
algemene;-0.2
alledaags;-0.5
alledaagse;-0.5
allegorisch;0.1
allegorische;0.1
alleraardigst;0.4
alleraardigste;0.4
allerbelangrijkst;0.4
allerbelangrijkste;0.4
allerbest;1
allerbeste;1
allereerst;0
allereerste;0
allerergst;-0.3
allerergste;-0.3
allerhoogst;0.1
allerhoogste;0.1
allerlaatst;0
allerlaatste;0
allerlei;0
allerleie;0
allerleukst;0.9
allerleukste;0.9
allerminst;-0.2
allerminste;-0.2
allermooist;1
allermooiste;1
allesoverheersend;0
allesoverheersende;0
alomvattend;0.3
alomvattende;0.3
aloud;0.2
aloude;0.2
altruïstisch;0.7
altruïstische;0.7
amateuristisch;-0.5
amateuristische;-0.5
ambitieus;0.9
ambitieuze;0.9
ambitieuzer;0.375
amicaal;0.3
amicale;0.3
amicaliteit;0.5
amoureus;0.3
amoureuze;0.3
Amsterdams;0
amsterdamse;0
amusant;0.6
amusante;0.6
anaal;-0.8
anachronistisch;0.4
anachronistische;0.4
anale;-0.8
analoge;0
analoog;0
anarchistisch;0
anarchistische;0
anatomisch;0
anatomische;0
ander;0
andere;0
anderhalf;0
anderhalfe;0
anders;0
anderse;0
anekdotisch;-0.1
anekdotische;-0.1
Angelsaksisch;0
angelsaksische;0.1
anglicaans;0
anglicaanse;0
angstaanjagend;-0.9
angstaanjagende;-0.9
angstig;-0.4
angstige;-0.4
angstwekkend;-0.6
angstwekkende;-0.6
anticommunistisch;-0.3
anticommunistische;-0.3
antifascistisch;0.3
antifascistische;0.3
antiquarisch;0
antiquarische;0
antiracistisch;0.6
antiracistische;0.6
antisemitisch;-0.4
antisemitische;-0.4
antropologisch;0
antropologische;0
apart;0.2
aparte;0.2
apathisch;-0.9
apathische;-0.9
apert;0.3
aperte;0.3
apetrots;0.8
apetrotse;0.8
apocalyptisch;-0.5
apocalyptische;-0.5
apodictisch;0
apodictische;0
apostolisch;0
apostolische;0
Arabisch;0
arabische;0
arbeidsintensief;-0.2
arbeidsintensieve;-0.2
arbeidskundig;0.2
arbeidsongeschikt;-0.5
arbeidsongeschikte;-0.5
arbeidzaam;0.1
arbeidzame;0.1
arbitrair;-0.4
arbitraire;-0.4
archaïsch;-0.4
archaïsche;-0.4
archeologisch;0
archeologische;0
architectonisch;0.1
architectonische;0.1
Ardens;0
ardense;0
argeloos;-0.2
argeloze;-0.2
arglistig;-0.7
arglistige;-0.7
argwanend;-0.4
argwanende;-0.4
arm;-0.5
arme;-0.5
armetierig;-0.5
armetierige;-0.5
armoedig;-0.6
armoedige;-0.6
armzalig;-0.7
armzalige;-0.7
Arnhems;0
arnhemse;0
arrogant;-0.9
arrogante;-0.9
artistiek;0.1
artistieke;0.1
asblond;0
asblonde;0
ascetisch;0.2
ascetische;0.2
asgrauw;-0.1
asgrauwe;-0.1
asociaal;-0.6
asociale;-0.6
Assens;0
assense;0
assertief;0.5
assertieve;0.5
assertiever;0.5
assertievere;0.5
associatief;0.2
associatieve;0.2
astmatisch;-0.7
astmatische;-0.7
astraal;-0.1
astrale;-0.1
astronomisch;0.3
astronomische;0.3
atheïstisch;0
atheïstische;0
atonaal;0.1
atonale;0.1
atoomvrij;0.4
atoomvrije;0.4
attent;0.2
attente;0.2
attractief;0.8
attractieve;0.8
autarkisch;0
autarkische;0
auteursrechtelijk;0.1
auteursrechtelijke;0.1
authentiek;0.4
authentieke;0.4
autistisch;-0.2
autistische;-0.2
autobiografisch;0
autobiografische;0
autoloos;0
autoloze;0
automatisch;0.1
automatische;0.1
avant-gardistisch;0
avant-gardistische;0
averechts;-0.4
averechtse;-0.4
avontuurlijk;0.6
avontuurlijke;0.6
baanbrekend;0.5
baanbrekende;0.5
baarlijk;0.3
baarlijke;0.3
babbelziek;-0.8
babbelzieke;-0.8
badinerend;-0.3
badinerende;-0.3
baldadig;-0.4
baldadige;-0.4
balorig;-0.4
balorige;-0.4
banaal;-0.5
banale;-0.5
bancair;-0.1
bancaire;-0.1
bang;-0.5
bange;-0.5
bangelijk;-0.4
bangelijke;-0.4
bangig;-0.3
bangige;-0.3
bar;-0.4
barbaars;-0.9
barbaarse;-0.9
barok;-0.2
barokke;-0.2
barre;-0.4
bars;-0.8
barse;-0.8
barstensvol;-0.1
barstensvolle;-0.1
basaal;0.1
basale;0.1
bazig;-0.8
bazige;-0.8
bedaagd;0
bedaagde;0
bedaard;0.1
bedaarde;0.1
bedachtzaam;0.6
bedachtzame;0.6
bedenkelijk;-0.4
bedenkelijke;-0.4
bedlegerig;-0.7
bedlegerige;-0.7
bedompt;0.1
bedompte;0.1
bedroefd;-0.5
bedroefde;-0.5
beduidend;0.1
beduidende;0.1
beeldend;0
beeldende;0
beeldrijk;0.2
beeldrijke;0.2
beeldschone;1
beeldschoon;1
beestachtig;-1
beestachtige;-1
befaamd;0.5
befaamde;0.5
begaafd;0.7
begaafde;0.7
begaanbaar;0.3
begaanbare;0.3
begeerlijk;0.6
begeerlijke;0.6
begeesterd;0.6
begeesterde;0.6
begenadigd;0.7
begenadigde;0.7
beginselvast;0
beginselvaste;0
begrijpbaar;0.4
begrijpbare;0.4
begrijpelijk;0.4
begrijpelijke;0.4
begripvol;0.4
begripvolle;0.4
behaaglijk;0.4
behaaglijke;0.4
beheersbaar;0
beheersbare;0
behendig;0.6
behendige;0.6
behoeftig;-0.6
behoeftige;-0.6
behoorlijk;0.3
behoorlijke;0.3
behulpzaam;0.5
bejaard;-0.1
bejaarde;-0.1
bekakt;-0.8
bekakte;-0.8
bekeken;0.8
bekekene;0.8
bekend;0.3
bekende;0.3
beklagenswaardig;-0.7
beklagenswaardige;-0.7
beklemmend;-0.5
beklemmende;-0.5
beklonken;0.1
beklonkene;0.1
bekneld;-0.1
beknelde;-0.1
beknopt;0.1
beknopte;0.1
bekocht;-0.5
bekochte;-0.5
bekrompen;-0.6
bekrompene;-0.6
bekwaam;0.4
bekwame;0.4
belabberd;-0.6
belabberde;-0.6
belachelijk;-1
belachelijke;-1
belangeloos;0.8
belangeloze;0.8
belanghebbend;0
belanghebbende;0
belangrijk;0.3
belangrijke;0.3
belangwekkend;0.7
belangwekkende;0.7
belastend;-0.4
belastende;-0.4
belazerd;-0.8
belazerde;-0.8
beleefd;0.5
beleefde;0.5
belerend;-0.5
belerende;-0.5
belezen;0
belezene;0
beloftevol;0.6
beloftevolle;0.6
belust;0.1
beluste;0.1
bemiddeld;0.4
bemiddelde;0.4
bemoeiziek;-0.7
bemoeizieke;-0.7
bemost;-0.1
bemoste;-0.1
benard;-0.5
benarde;-0.5
benauwd;-0.5
benauwde;-0.5
beneden peil;-0.2
beneden verwacht niveau;-0.2
beneden verwachting;-0.2
benieuwd;0.4
benieuwde;0.4
benig;-0.2
benige;-0.2
benodigd;0.5
benodigde;0.5
bepaald;0.2
bepaalde;0.2
beperkt;-0.4
beperkte;-0.4
bereid;0.2
bereide;0.2
bereidwillig;0.25
bereikbaar;0.4
bereikbare;0.4
berekend;0.2
berekende;0.2
berijdbaar;0.3
berijdbare;0.3
beroemd;0.5
beroemde;0.5
beroerd;-0.6
beroerde;-0.6
berooid;-0.6
berooide;-0.6
berouwvol;-0.5
berouwvolle;-0.5
berucht;-0.1
beruchte;-0.1
beschaafd;0.2
beschaafde;0.2
beschamend;-0.5
beschamende;-0.5
bescheiden;-0.4
bescheidene;-0.4
bescheten;-0.4
beschetene;-0.4
beschikbaar;0.4
beschikbare;0.4
beschonken;-0.5
beschonkene;-0.5
beslist;0.1
besliste;0.1
besmet;-0.2
besmette;-0.2
besmettelijk;-0.5
besmettelijke;-0.5
besmuikt;-0.2
besmuikte;-0.2
besodemieterd;-0.7
besodemieterde;-0.7
bespottelijk;-1
bespottelijke;-1
best;0
beste;0.7
bestuurlijk;0
bestuurlijke;0
bestuursrechtelijk;0
bestuursrechtelijke;0
betaalbaar;0.4
betaalbare;0.4
betekenisloos;-0.1
betekenisloze;-0.1
betekenisvol;0.4
betekenisvolle;0.4
beter;0.1
betere;0.1
beteuterd;-0.5
beteuterde;-0.5
betonnen;0
betonnene;0
betraand;-0.3
betraande;-0.3
betrekkelijk;0
betrekkelijke;0
betrokken;0.1
betrokkene;0.1
betrouwbaar;0.8
betrouwbare;0.8
betuttelend;-0.4
betwistbaar;-0.3
betwistbare;-0.3
beurs;-0.4
beurse;-0.4
bevallig;0.6
bevallige;0.6
bevindelijk;0.1
bevindelijke;0.1
bevoegd;0.5
bevredigend;0.5
bevredigende;0.5
bevreesd;-0.4
bevreesde;-0.4
bewaakt;0.1
beweegbaar;0
beweegbare;0
beweeglijk;0
beweeglijke;0
bewolkt;-0.1
bewolkte;-0.1
bewonderenswaardig;0.7
bewonderenswaardige;0.7
bewonderingswaardig;0.7
bewust;0.2
bewuste;0.2
bezeten;-0.2
bezetene;-0.2
bezienswaardig;0.8
bezienswaardige;0.8
bezig;0.1
bezige;0.1
bezorgd;-0.1
bezorgde;-0.1
bezweet;-0.2
bezwete;-0.2
bijbehorend;0.2
bijbehorende;0.2
bijbels;0
bijbelse;0
bijbelvast;0
bijbelvaste;0
bijdragend;0.5
bijgelovig;-0.5
bijgelovige;-0.5
bijgenaamd;-0.1
bijgenaamde;-0.1
bijster;-0.4
bijstere;-0.4
bijtend;-0.4
bijtende;-0.4
bijvoeglijk;0.1
bijvoeglijke;0.1
bijzonder;0.6
bijzondere;0.6
bikkelhard;-0.1
bikkelharde;-0.1
bilateraal;0
bilaterale;0
billijk;0.3
billijke;0.3
binnenlands;0
binnenlandse;0
biografisch;0
biografische;0
biologisch;0.1
biologische;0.1
bitter;-0.5
bittere;-0.5
bitterzoet;0.1
bitterzoete;0.1
bizar;-0.1
bizarre;-0.1
blabla;-0.3
bladstil;0
bladstille;0
blanco;0
blancoe;0
blank;0
blanke;0
blasfemisch;-0.8
blasfemische;-0.8
blauw;0
blauwe;0
blij;0.6
blije;0.6
blijkbaar;0
blijkbare;0
blijmoedig;0.5
blijmoedige;0.5
bliksems;-0.3
bliksemse;-0.3
bliksemsnel;0.1
bliksemsnele;0.1
blind;-0.1
blinde;-0.1
blits;0.1
blitse;0.1
bloeddoorlopen;-0.2
bloeddoorlopene;-0.2
bloederig;-0.6
bloederige;-0.6
bloedheet;-0.2
bloedhete;-0.2
bloedig;-0.5
bloedige;-0.5
bloedmooi;1
bloedmooie;1
bloedserieus;0
bloedserieuze;0
bloedstollend;0.8
bloedstollende;0.8
bloemrijk;0.2
bloemrijke;0.2
blokkade;-0.1
blokkades;-0.1
blokkeren;-0.1
blond;0
blonde;0
bloot;0.1
blote;0.1
blut;-0.4
blutte;-0.4
bochtig;-0.1
bochtige;-0.1
bodemloos;0.3
bodemloze;0.3
Boedapests;0
boedapestse;0
boeiend;0.9
boeiende;0.9
boekhoudkundig;0
boekhoudkundige;0
boers;-0.6
boerse;-0.6
bol;-0.1
bolle;-0.1
bombastisch;-0.5
bombastische;-0.5
bomvol;-0.1
bomvolle;-0.1
bondig;0.4
bondige;0.4
boordevol;0.2
boordevolle;0.2
boos;-0.7
borstelig;0
borstelige;0
bot;-0.3
botte;-0.3
Bourgondisch;0
bourgondische;0.8
boven gemiddeld;0.4
boven gemiddelde;0.4
boven verwacht niveau;0.4
boven verwachting;0.4
bovenaards;0.1
bovenaardse;0.1
bovengenoemd;0
bovengenoemde;0
bovenmenselijk;-0.3
bovenmenselijke;-0.3
bovennatuurlijk;0.1
bovennatuurlijke;0.1
bovenst;-0.1
bovenstaand;0
bovenstaande;0
bovenste;-0.1
bovenvermeld;0
bovenvermelde;0
boycot;-0.1
boycotten;-0.1
boze;-0.7
braaf;0.2
braak;0
brak;-0.3
brake;0
brakke;-0.3
brandend;-0.6
brandende;-0.6
branderig;0.5
branderige;0.5
brave;0.2
brede;-0.1
breed;-0.1
breedgebouwd;0.1
breedgebouwde;0.1
breedgeschouderd;0.4
breedgeschouderde;0.4
briljant;1
briljante;1
broederlijk;0.3
broederlijke;0.3
broeierig;-0.6
broeierige;-0.6
bronzen;0.2
bronzene;0.2
broodmager;-0.2
broodmagere;-0.2
broodnuchter;0.5
broodnuchtere;0.5
broos;-0.5
broze;-0.5
bruin;-0.2
bruine;-0.2
Brussels;0
brusselse;0
brutaal;-0.3
brutale;-0.3
brute;-0.5
bruusk;-0.5
bruuske;-0.5
bruut;-0.5
buiig;-0.5
buiige;-0.5
buikig;0
buikige;0
buitenaards;0.1
buitenaardse;0.1
buitenechtelijk;-0.2
buitenechtelijke;-0.2
buitengewone;0.9
buitengewoon;0.9
buitenissig;-0.4
buitenissige;-0.4
buitenlands;0
buitenlandse;0
buitenmatig;0.2
buitenmatige;0.2
buitensporig;-0.3
buitensporige;-0.3
Byzantijns;0
byzantijnse;0
calvinistisch;0.1
calvinistische;0.1
capabel;0.6
capabele;0.6
catastrofaal;-0.6
catastrofale;-0.6
categoriaal;0
categoriale;0
categorisch;-0.1
categorische;-0.1
causaal;0
causale;0
centraal;0
centrale;0
chagrijnig;-0.5
chagrijnige;-0.5
chaotisch;-0.5
chaotische;-0.5
charismatisch;0.8
charismatische;0.8
charitatief;0.5
charitatieve;0.5
charlatan;-0.6
charlatanisme;-0.5
charmant;0.2
charmante;0.2
chassidisch;0
chassidische;0
chauvinistisch;-0.5
chauvinistische;-0.5
chic;0.5
chice;0.5
chloorhoudend;-0.4
chloorhoudende;-0.4
cholerisch;-0.5
cholerische;-0.5
choreografisch;0
choreografische;0
christelijk;0
christelijke;0
christen-democratisch;0
christen-democratische;0
chronisch;-0.3
chronische;-0.3
chronologisch;0
chronologische;0
cinematografisch;0
cinematografische;0
civiel;0
civiele;0
civielrechtelijk;0
civielrechtelijke;0
clandestien;-0.3
clandestiene;-0.3
clash;-0.2
classicistisch;-0.1
classicistische;-0.1
claustrofobisch;-0.6
claustrofobische;-0.6
clever;0.8
clevere;0.8
cliché;-0.4
clichée;-0.4
clichématig;-0.5
clichématige;-0.5
clinch;-0.2
close;0.8
coachbaar;0.125
coachbaarheid;0.125
coherent;0.4
coherente;0.4
cole;0.7
collectief;0
collectieve;0
collegiaal;0.1
collegiale;0.1
comfortabel;0.2
comfortabele;0.2
commercieel;-0.1
commerciele;-0.1
communicatief;0.1
communicatieve;0.1
communistisch;0
communistische;0
competent;0.4
competente;0.4
compleet;0.1
complete;0.1
complex;-0.1
complexe;-0.1
compositorisch;0.1
compositorische;0.1
computergestuurd;0
computergestuurde;0
conceptueel;0.1
conceptuele;0.1
concreet;0.2
concrete;0.2
concurrerend;-0.1
concurrerende;-0.1
confessioneel;0
confessionele;0
confronterend;-0.6
confronterende;-0.6
congruent;0.1
congruente;0.1
conjunctureel;0
conjuncturele;0
conscientieus;0.4333333
consciëntieus;0.4333333
consciëntieuze;0.4333333
consequent;0.2
consequente;0.2
conservatief;-0.1
conservatieve;-0.1
consistent;0
consistente;0
constant;0
constante;0
constructief;0.1
constructieve;0.1
contemporain;0.2
contemporaine;0.2
content;0.4
contente;0.4
contingent;0
contingente;0
continu;0
continue;0
controversieel;-0.5
controversiele;-0.5
conventioneel;-0.4
conventionele;-0.4
cool;0.7
coöperatief;0
coöperatieve;0
copieus;0.6
copieuze;0.6
corduroy;0
corduroye;0
corpulent;-0.1
corpulente;-0.1
correct;0.5
correcte;0.5
cosmetisch;-0.1
cosmetische;-0.1
coulant;0.6
coulante;0.6
courant;0
courante;0
crazy;0.5
crazye;0.5
creatief;0.6
creatieve;0.6
crimineel;-0.4
criminele;-0.4
criminologisch;0
criminologische;0
cru;-0.5
cruciaal;0.4
cruciale;0.4
crue;-0.5
cryptisch;-0.4
cryptische;-0.4
culinair;0
culinaire;0
cultureel;0.1
culturele;0.1
cultuurhistorisch;0
cultuurhistorische;0
cumulatief;0.1
cumulatieve;0.1
curatief;0.1
curatieve;0.1
curieus;0.2
curieuze;0.2
cursief;0
cursieve;0
cynisch;-0.6
cynische;-0.6
cyrillisch;0
cyrillische;0
daadkrachtig;0.4333333
daadkrachtiger;0.4333333
daadwerkelijk;0.2
daadwerkelijke;0.2
daaropvolgend;0
daaropvolgende;0
dagelijks;-0.1
dagelijkse;-0.1
dagenlang;-0.1
dagenlange;-0.1
dagvers;-0.1
dagverse;-0.1
dakloos;-0.1
dakloze;-0.1
danig;0
dankbaar;0.6
dankbare;0.6
dapper;0.8
dappere;0.8
daverend;0.4
daverende;0.4
decadent;-0.6
decadente;-0.6
decoratief;0
decoratieve;0
deductief;0.4
deductieve;0.4
deels;0
deemoedig;-0.1
deemoedige;-0.1
deerlijk;-0.7
deerlijke;-0.7
deerniswekkend;-0.4
deerniswekkende;-0.4
defaitistisch;-0.6
defaitistische;-0.6
definitief;0
definitieve;0
deftig;0.4
deftige;0.4
degelijk;0.5
degelijke;0.5
deksels;0
dekselse;0
demagogisch;-0.4
demagogische;-0.4
dement;-0.7
demente;-0.7
demissionair;0
demissionaire;0
demografisch;0
demografische;0
demonisch;-0.4
demonische;-0.4
demonstratief;-0.2
demonstratieve;-0.2
denderend;0.4
denderende;0.4
denkbaar;0.1
denkbare;0.1
departementaal;0
departementale;0
deplorabel;-0.5
deplorabele;-0.5
depressief;0
depressieve;0
derdegraads;-0.5
derdegraadse;-0.5
derderangs;-0.6
derderangse;-0.6
dergelijk;0
dergelijke;0
desastreus;-0.5
desastreuze;-0.5
descriptief;0.2
descriptieve;0.2
deskundig;0.4
deskundige;0.4
desolaat;-0.4
desolate;-0.4
destructief;-0.8
destructieve;-0.8
deugdelijk;0
deugdelijke;0
deugdzaam;-0.1
deugdzame;-0.1
devoot;0.4
devote;0.4
dezelfde;0
diabolisch;-0.6
diabolische;-0.6
dicht;0
dichtbij;0.1
dichtbije;0.1
dichte;0
dichterbij;0.1
dichterbije;0.1
dichterlijk;0.2
dichterlijke;0.2
dictatoriale;-0.3
didactisch;0.1
didactische;0.1
dienstverlenend;-0.1
dienstverlenende;-0.1
diep;0.2
diepblauw;0.1
diepblauwe;0.1
diepe;0.2
diepgaand;0.4
diepgaande;0.4
diepgeworteld;-0.1
diepgewortelde;-0.1
diepgravend;0.5
diepgravende;0.5
diepliggend;0
diepliggende;0
dieptepunt;-0.3
diepzinnig;0.6
diepzinnige;0.6
dierbaar;0.7
dierbare;0.7
diffuus;0
diffuze;0
digitaal;0
digitale;0
dik;0
dikke;0
dilettanterig;-0.5
dilettanterige;-0.5
diplomatiek;0
diplomatieke;0
direct;0.4
directe;0.4
directief;-0.3
discutabel;-0.4
discutabele;-0.4
disproportioneel;-0.1
disproportionele;-0.1
disputabel;-0.4
disputabele;-0.4
dissonant;-0.6
dissonante;-0.6
divers;0.1
diverse;0.1
dode;-0.2
dodelijk;-0.6
dodelijke;-0.6
doelbewust;0.2
doelbewuste;0.2
doelgericht;-0.1
doelgerichte;-0.1
doelloos;-0.3
doelloze;-0.3
doeltreffend;0.6
doeltreffende;0.6
doenlijk;0
doenlijke;0
dof;0.4
doffe;0.4
dogmatisch;-0.5
dogmatische;-0.5
dol;0.1
dolblij;0.6
dolblije;0.6
doldriest;-0.6
doldrieste;-0.6
dolenthousiast;0.6
dolenthousiaste;0.6
dolgelukkig;0.6
dolgelukkige;0.6
dolle;0.1
dom;-0.7
domme;-0.7
donker;-0.2
donkerblauw;0
donkerblauwe;0
donkerblond;0
donkerblonde;0
donkere;-0.2
donkergrijs;-0.2
donkergrijze;-0.2
donkerrode;0
donkerrood;0
dood;-0.2
doodeenvoudig;0.1
doodeenvoudige;0.1
doodgeboren;-0.5
doodgeborene;-0.5
doodgewone;-0.1
doodgewoon;-0.1
doodkalm;-0.9
doodkalme;-0.9
doodmoe;-0.5
doodnormaal;-0.4
doodnormale;-0.4
doods;-0.1
doodsbleek;-0.6
doodsbleke;-0.6
doodse;-0.1
doodsimpel;0.2
doodsimpele;0.2
doodziek;-0.7
doodzieke;-0.7
doopsgezind;0
doopsgezinde;0
doordacht;0.8
doordachte;0.8
doordeweeks;-0.6
doordeweekse;-0.6
doorgaand;-0.3
doorgaande;-0.3
doorgewinterd;0.5
doorgewinterde;0.5
doorpakker;0.4333333
doorslaand;0.4
doorslaande;0.4
doorslaggevend;0.2
doorslaggevende;0.2
doorsnee;-0.1
doortasten;0.4333333
doortastender;0.4333333
doortimmerd;0.1
doortimmerde;0.1
doorwrocht;0.7
doorwrochte;0.7
doorzettende;0.4
doorzetter;0.4
doorzettingskracht;0.4
doorzichtig;0.1
doorzichtige;0.1
dorstig;-0.4
dorstige;-0.4
draagbaar;0
draagbare;0
draagkrachtig;0.4
draagkrachtige;0.4
draaibaar;0.2
draaibare;0.2
drabbig;-0.4
drabbige;-0.4
draconisch;-0.5
draconische;-0.5
drakerig;-0.6
drakerige;-0.6
dramatisch;-0.4
dramatische;-0.4
drammerig;-0.4
drammerige;-0.4
drastisch;-0.1
drastische;-0.1
dreigend;-0.2
dreigende;-0.2
driedimensionaal;0.1
driedimensionale;0.1
driedubbel;0
driedubbele;0
driejaarlijks;0
driejaarlijkse;0
driekwart;0
driekwarte;0
driest;-0.7
drieste;-0.7
drinkbaar;0.4
drinkbare;0.4
droef;-0.5
droeve;-0.5
droevig;-0.5
droevige;-0.5
droge;0
dromerig;0.3
dromerige;0.3
dronken;-0.3
dronkene;-0.3
droog;0
druilerig;-0.5
druilerige;-0.5
druk;-0.2
drukke;-0.2
dubbel;0
dubbele;0
dubbelhartig;-0.9
dubbelhartige;-0.9
dubieus;-0.4
dubieuze;-0.4
duidelijk;0.4
duidelijke;0.4
duister;-0.2
duistere;-0.2
duivels;-0.5
duivelse;-0.5
duizelig;-0.1
duizelige;-0.1
duizelingwekkend;0.5
duizelingwekkende;0.5
duizendjarig;0
duizendjarige;0
dun;-0.2
dunne;-0.2
dure;-0.2
dusdanig;0
dusdanige;0
duur;-0.2
duurzaam;0.1
duurzame;0.1
dwangmatig;-0.6
dwangmatige;-0.6
dwars;0
dwarsbomen;-0.2
dwarse;0
dweperig;-0.5
dweperige;-0.5
dynamisch;0.1
dynamische;0.1
dyslectisch;-0.5
dyslectische;-0.5
echt;0.2
echte;0.2
eclatant;0.6
eclatante;0.6
edel;-0.7
edele;-0.7
eeltig;-0.1
eeltige;-0.1
eendimensionaal;-0.2
eendimensionale;-0.2
eendrachtig;0.2
eendrachtige;0.2
eenduidig;0.4
eenduidige;0.4
eenheidsworst;-0.3
eenhoevig;0.1
eenhoevige;0.1
eenmalig;0
eenmalige;0
eenparig;0.1
eenparige;0.1
eens;0.1
eense;0.1
eensluidend;0.4
eensluidende;0.4
eentonig;-0.3
eentonige;-0.3
eenvoudig;0.4
eenvoudige;0.4
eenzaam;-0.3
eenzame;-0.3
eenzelvig;-0.4
eenzelvige;-0.4
eenzijdig;-0.4
eenzijdige;-0.4
eerbiedig;0.1
eerbiedige;0.1
eerder;0
eerdere;0
eerlijk;0.6
eerlijke;0.6
eerloos;-0.5
eerloze;-0.5
eersteklas;0.9
eersteklasse;0.9
eersterangs;0.5
eersterangse;0.5
eerstgenoemd;0
eerstgenoemde;0
eerstkomend;0
eerstkomende;0
eerzaam;0.3
eerzame;0.3
eerzuchtig;-0.8
eerzuchtige;-0.8
eeuwenlang;0
eeuwenlange;0
eeuwenoud;0
eeuwenoude;0
eeuwig;-0.1
eeuwige;-0.1
effectief;0.4
effectieve;0.4
effectievere;0.4
efficiënt;0.5
efficiënte;0.5
egocentrisch;-0.7
egocentrische;-0.7
egoïstisch;-0.9
egoïstische;-0.9
eigen;0
eigenaardig;0
eigenaardige;0
eigenlijk;0
eigenlijke;0
eigene;0
eigentijds;0.4
eigentijdse;0.4
eigenwijs;-0.2
eigenwijze;-0.2
eigenzinnig;-0.1
eigenzinnige;-0.1
eindeloos;0.3
eindeloze;0.3
Eindhovens;0
eindhovense;0
eivol;0.2
eivolle;0.2
elastieken;-0.1
elastiekene;-0.1
electoraal;0
electorale;0
elegant;0.8
elegante;0.8
elektronisch;0
elektronische;0
elementair;0.1
elementaire;0.1
ellendig;-0.6
ellendige;-0.6
ellenlang;-0.2
ellenlange;-0.2
embryonaal;0
